dis_no,year,seq,glide,disaster_group,disaster_subgroup,disaster_type,disaster_subtype,disaster_subsubtype,event_name,country,iso,region,continent,location,origin,associated_dis,associated_dis2,ofda_response,appeal,declaration,aid_contribution_thousand_usd,dis_mag_value,dis_mag_scale,latitude,longitude,local_time,river_basin,start_year,start_month,start_day,end_year,end_month,end_day,total_deaths,no_injured,no_affected,no_homeless,total_affected,reconstruction_costs_thousand_usd,reconstruction_costs_adjusted_thousand_usd,insured_damages_thousand_usd,insured_damages_adjusted_thousand_usd,total_damages_thousand_usd,total_damages_adjusted_thousand_usd,cpi,adm_level,admin1_code,admin2_code,geo_locations
2009-0273-AUT,2009,0273,,Natural,Meteorological,Storm,Convective storm,Lightning/Thunderstorms,,Austria,AUT,Western Europe,Europe,"Kufstein district (Tirol province), Braunau am Inn, Voecklabruck, Wels districts (Oberosterreich province), Tulln district (Niederosterreich province), Wien district (Wien province)",,Hail,Flood,,,,,,Kph,,,,,2009,7,23,2009,7,24,,,,,,,,,,5e+05,631522,79.1738027553029,2,,5610;5618;5633;5634;5663;5672,"Braunau am Inn, Kufstein, Tulln, Vocklabruck, Wels, Wien (Adm2)."
2009-0273-CHE,2009,0273,,Natural,Meteorological,Storm,Convective storm,Lightning/Thunderstorms,,Switzerland,CHE,Western Europe,Europe,"Bern, Vaud, Fribourg, Luzern, Nidwalden provinces",,Hail,,,,,,,Kph,,,,,2009,7,23,2009,7,24,,,,,,,,,,1e+06,1263044,79.1738027553029,1,2812;2813;2818;2820;2830,,"Bern, Fribourg, Luzern, Nidwalden, Vaud (Adm1)."
2009-0279-AUT,2009,0279,,Natural,Hydrological,Flood,Riverine flood,,,Austria,AUT,Western Europe,Europe,Graz district (Steiermark province),Heavy rains,,,,,Yes,,2765,Km2,47.4,15.71,,,2009,7,16,2009,7,19,,,,,,,,,,,,79.1738027553029,2,,5647,Graz (Adm2).
2009-0571-AUT,2009,0571,,Natural,Meteorological,Extreme temperature,Cold wave,,,Austria,AUT,Western Europe,Europe,Steiermark province,,,,,,,,,°C,,,,,2009,12,18,2009,12,19,2,,,,,,,,,,,79.1738027553029,1,483,,Steiermark (Adm1).
2009-0273-DEU,2009,0273,,Natural,Meteorological,Storm,Convective storm,Lightning/Thunderstorms,,Germany,DEU,Western Europe,Europe,"Baden-Wuerttemberg, Bayern, Berlin, Brandenburg, Mecklenburg-Vorpommern, Sachsen-Anhalt, Thueringen provinces",,,,,,,,,Kph,,,,,2009,7,23,2009,7,24,1,,,,,,,,,50000,63152,79.1738027553029,1,1308;1309;1310;1311;1315;1321;1323,,"Baden-Wuerttemberg, Bayern, Berlin, Brandenburg, Mecklenburg-Vorpommern, Sachsen-Anhalt, Thueringen (Adm1)."
2009-0571-DEU,2009,0571,,Natural,Meteorological,Extreme temperature,Cold wave,,,Germany,DEU,Western Europe,Europe,"Bayern, Berlin, Hamburg provinces, Leipzig district (Sachsen province), Hanover city (no Admin 2, Niedersachsen province), Gruenow city (no admin 2, Brandenburg province)",,,,,,,,-34,°C,,,,,2009,12,18,2010,1,25,14,,,,,,,,,,,79.1738027553029,1;2,1309;1310;1311;1313;1316,16561,"Bayern, Berlin, Brandenburg, Hamburg, Niedersachsen (Adm1). Leipzig (Adm2)."
2009-0571-FRA,2009,0571,,Natural,Meteorological,Extreme temperature,Cold wave,,,France,FRA,Western Europe,Europe,"Alsace, Aquitaine, Auvergne, Basse-Normandie, Bourgogne, Bretagne, Centre, Champagne-Ardenne, Corse, Franche-Comte, Haute-Normandie, Ile-de-France, Languedoc-Rousillon, Limousin, Lorraine, Midi-Pyrenees, Nord-Pas-de-Calais, Pays-de-la-Loire, Picardie, Poitou-Charentes, Provence-Alpes-Cote-d'Azur, Rhone-Alpes provinces",,,,,,,,-24,°C,,,,,2009,12,18,2009,12,19,2,,,,,,,,,,,79.1738027553029,1,1248;1249;1250;1251;1252;1253;1254;1255;1256;1257;1258;1259;1260;1262;1263;1264;1265;1266;1267;1268;1269;1270,,"Alsace, Aquitaine, Auvergne, Basse-Normandie, Bourgogne, Bretagne, Centre, Champagne-Ardenne, Corse, Franche-Comte, Haute-Normandie, Ile-de-France, Languedoc-Rousillon, Limousin, Lorraine, Midi-Pyrenees, Nord-Pas-de-Calais, Pays-de-la-Loire, Picardie, Poitou-Charentes, Provence-Alpes-Cote-d'Azur, Rhone-Alpes (Adm1)."
2009-0271-FRA,2009,0271,,Natural,Climatological,Wildfire,Forest fire,,,France,FRA,Western Europe,Europe,"Corse province, Marseille city (Bouches-du-Rhone district, Provence-Alpes-Cote-d'Azur province)",,,,,,,,,Km2,,,,,2009,7,,2009,7,,,,,,,,,,,,,79.1738027553029,1;2,1256,16322,Corse (Adm1). Bouches-du-Rhone (Adm2).
2010-0601-BEL,2010,0601,,Natural,Hydrological,Flood,Riverine flood,,,Belgium,BEL,Western Europe,Europe,"Region de Bruxelles-Capitale, Vlaams Gewest, Region wallonne provinces",Heavy rains,"Slide (land, mud, snow, rock)",,,,Yes,,8458,Km2,50.85,4.35,,,2010,11,11,2010,11,15,3,,690,,690,,,,,238146,295935,80.472285151979,1,600;601;602,,"Region de Bruxelles-Capitale / Brussels Hoofdstedelijk Gewes, Region wallonne, Vlaams Gewest (Adm1)."
2010-0233-FRA,2010,0233,,Natural,Hydrological,Flood,Flash flood,,,France,FRA,Western Europe,Europe,"Draguignan, Les Arcs, Figanières, Roquebrune sur Argens, Luo, Muy, Trans cities (Var distric, Provence-Alpes-Cote-d'Azur province)",Torrential rain,"Slide (land, mud, snow, rock)",,,,,,7700,Km2,43.5,6.6,,,2010,6,15,2010,6,16,25,,,,,,,1070000,1329650,1500000,1863996,80.472285151979,2,,16324,Var (Adm2).
2010-0380-DEU,2010,0380,,Natural,Hydrological,Flood,Flash flood,,,Germany,DEU,Western Europe,Europe,"Chemnitz district (Sachsen province), Neurkirchen city (Saarland province)",,Flood,,,,,,,Km2,,,,,2010,8,7,2010,8,7,3,,,,,,,,,,,80.472285151979,1;2,1319,16559,Saarland (Adm1). Chemnitz (Adm2).
2010-0088-FRA,2010,0088,,Natural,Meteorological,Storm,Extra-tropical storm,,Xynthia,France,FRA,Western Europe,Europe,"Charente-Maritime, Vienne, Deux-Sèvres districts (Poitou-Charentes province), Vendée district (Pays-de-la-Loire province)",,Flood,,,,Yes,,140,Kph,,,,,2010,2,28,2010,3,2,53,79,5e+05,,500079,,,2100000,2609594,4230000,5256468,80.472285151979,2,,16312;16317;16318;16319,"Charente-Maritime, Deux-Sevres, Vendee, Vienne (Adm2)."
2010-0652-BEL,2010,0652,,Natural,Meteorological,Storm,Convective storm,Winter storm/Blizzard,,Belgium,BEL,Western Europe,Europe,"Region de Bruxelles-Capitale, Vlaams Gewest, Region wallonne provinces",,,,,,,,,Kph,,,,,2010,12,23,2010,12,24,,,,,,,,,,,,80.472285151979,1,600;601;602,,"Region de Bruxelles-Capitale / Brussels Hoofdstedelijk Gewes, Region wallonne, Vlaams Gewest (Adm1)."
2010-0088-BEL,2010,0088,,Natural,Meteorological,Storm,Extra-tropical storm,,Xynthia,Belgium,BEL,Western Europe,Europe,"Jodoigne city (Brabant wallon district, Region wallonne province) ; Region de Bruxelles-Capitale, Vlaams Gewest, Region walonne provinces",,,,,,,,,Kph,,,,,2010,2,28,2010,2,28,1,,,,,,,80000,99413,160000,198826,80.472285151979,1,600;601;602,,"Region de Bruxelles-Capitale / Brussels Hoofdstedelijk Gewes, Region wallonne, Vlaams Gewest (Adm1)."
2010-0088-CHE,2010,0088,,Natural,Meteorological,Storm,Extra-tropical storm,,Xynthia,Switzerland,CHE,Western Europe,Europe,"Aargau, Appenzell Ausser-rhoden, Appenzell Inner-rhoden, Basel-landschaft, Basel-stadt, Bern, Fribourg, Geneve, Glarus, Graubunden, Jura, Luzern, Neuchatel, Nidwalden, Obwalden, Sankt Gallen, Schaffhausen, Schwyz, Solothurn, Thurgau, Ticino, Uri, Valais, Vaud, Zug, Zurich provinces",,,,,,,,,Kph,,,,,2010,2,28,2010,2,28,,,,,,,,9000,11184,14000,17397,80.472285151979,1,2807;2808;2809;2810;2811;2812;2813;2814;2815;2816;2817;2818;2819;2820;2821;2822;2823;2824;2825;2826;2827;2828;2829;2830;2831;2832,,"Aargau, Appenzell Ausser-rhoden, Appenzell Inner-rhoden, Basel-landschaft, Basel-stadt, Bern, Fribourg, Geneve, Glarus, Graubunden, Jura, Luzern, Neuchatel, Nidwalden, Obwalden, Sankt Gallen, Schaffhausen, Schwyz, Solothurn, Thurgau, Ticino, Uri, Valais, Vaud, Zug, Zurich (Adm1)."
2010-0615-CHE,2010,0615,,Natural,Meteorological,Extreme temperature,Cold wave,,,Switzerland,CHE,Western Europe,Europe,Geneve province,,,,,,,,,°C,,,,,2010,11,30,2010,12,1,,,,,,,,,,,,80.472285151979,1,2814,,Geneve (Adm1).
2010-0652-DEU,2010,0652,,Natural,Meteorological,Storm,Convective storm,Winter storm/Blizzard,,Germany,DEU,Western Europe,Europe,"Berlin city (Berlin province), Hamburg city (Hamburg province), Düsseldorf city (Düsseldorf district), Gelsenkirchen city (Muenster district) (Nordrhein-Westfalen province), Frankfort city (Darmstadt district, Hessen province)",,,,,,,,,Kph,,,,,2010,12,23,2010,12,24,,,,,,,,,,,,80.472285151979,1;2,1310;1313,16541;16551;16553,"Berlin, Hamburg (Adm1). Darmstadt, Duesseldorf, Muenster (Adm2)."
2010-0088-DEU,2010,0088,,Natural,Meteorological,Storm,Extra-tropical storm,,Xynthia,Germany,DEU,Western Europe,Europe,"Forêt Noire (Bade-Wurtemberg province) ; Nordrhein-Westfalen, Saarland, Hessen provinces",,,,,,,,130,Kph,,,,,2010,2,28,2010,2,28,4,,,,,,,680000,845011,1e+06,1242664,80.472285151979,1,1308;1314;1317;1319,,"Baden-Wuerttemberg, Hessen, Nordrhein-Westfalen, Saarland (Adm1)."
2010-0615-DEU,2010,0615,,Natural,Meteorological,Extreme temperature,Cold wave,,,Germany,DEU,Western Europe,Europe,"Querfurt area (Sachsen-Anhalt province), Frankfurt airport (Darmstadt district, Hessen province)",,,,,,,,,°C,,,,,2010,11,28,2010,12,1,1,,,,,,,,,,,80.472285151979,1;2,1321,16541,Sachsen-Anhalt (Adm1). Darmstadt (Adm2).
2010-0652-FRA,2010,0652,,Natural,Meteorological,Storm,Convective storm,Winter storm/Blizzard,,France,FRA,Western Europe,Europe,"Oise, Aisne districts (Picardie province), Ardennes, Aube, Marne districts (Champagne-Ardenne province), Loiret district (Centre province), Yonne district (Bourgogne province) (North departments), Aveyron, Lot, Tarn districts (Midi-Pyrenees province), Corrèze, Creuse districts (Limousin province), Pyrénées-Orientales (Languedoc-Rousillon province)",,,,,,,,,Kph,,,,,2010,12,23,2010,12,24,,,,,,,,,,,,80.472285151979,2,,16255;16265;16266;16267;16269;16289;16291;16292;16299;16303;16304;16313;16314,"Aisne, Ardennes, Aube, Aveyron, Correze, Creuse, Loiret, Lot, Marne, Oise, Pyrenees-Orientales, Tarn, Yonne (Adm2)."
2010-0615-FRA,2010,0615,,Natural,Meteorological,Extreme temperature,Cold wave,,,France,FRA,Western Europe,Europe,"Bretagne, Auvergne, Rhones-Alpes provinces",,,,,,,,,°C,,,,,2010,11,28,2010,12,1,3,,,,,,,,,,,80.472285151979,1,1250;1253;1270,,"Auvergne, Bretagne, Rhone-Alpes (Adm1)."
2011-0320-BEL,2011,0320,,Natural,Meteorological,Storm,Convective storm,Lightning/Thunderstorms,,Belgium,BEL,Western Europe,Europe,"Kiewit village (Limburg district, Vlaams Gewest province)",,,,,,Yes,,,Kph,,,,,2011,8,18,2011,8,18,5,71,,,71,,,,,99000,119259,83.0126743931774,2,,5848,Limburg (Adm2).
2011-0012-BEL,2011,0012,,Natural,Hydrological,Flood,Riverine flood,,,Belgium,BEL,Western Europe,Europe,"Tubize and Rebecq cities (Brabant wallon district), Eupen, Pepinster, Theux cities (Liege district), Rochefort, Dinant, Couvin cities (Namur district), Arlon city (Luxembourg district) (Region wallonne province)",Fonte des neiges et pluies,,,,,,,,Km2,,,,,2011,1,8,2011,1,13,,,,,,,,,,,,83.0126743931774,2,,5851;5852;5853;5854,"Brabant wallon, Liege, Luxembourg, Namur (Adm2)."
2011-0012-DEU,2011,0012,,Natural,Hydrological,Flood,Riverine flood,,,Germany,DEU,Western Europe,Europe,"Pforzheim (Kalsruhe district), Wertheim, Waiblingen cities (Stuttgart district) (Bade-Wurtemberg province), Wuzrburg, Passeau city (Niederbayern district, Bayern province), Coblence, Treves, Cochem (Rheinland-Pfalz province), Essen city (Duesseldorf district), Bonn city (Koeln district), Bochum city (Arnsberg district) (Nordrhein-Westfalen province) ; Saxe-Anhalt, Brandenburg, Thueringen provinces",Fonte des neiges et pluies,,,,,,,,Km2,,,,"Rhin, Moselle",2011,1,8,2011,1,11,4,,,,,,,,,,,83.0126743931774,1;2,1311;1318;1321;1323,16527;16528;16531;16549;16551;16552,"Brandenburg, Rheinland-Pfalz, Sachsen-Anhalt, Thueringen (Adm1). Arnsberg, Duesseldorf, Karlsruhe, Koeln, Niederbayern, Stuttgart (Adm2)."
2010-0088-LUX,2010,0088,,Natural,Meteorological,Storm,Extra-tropical storm,,Xynthia,Luxembourg,LUX,Western Europe,Europe,"Diekirch, Grevenmacher, Luxembourg province",,,,,,,,,Kph,,,,,2010,2,28,2010,2,28,,,,,,,,21000,26096,31000,38523,80.472285151979,1,1876;1877;1878,,"Diekirch, Grevenmacher, Luxembourg (Adm1)."
2010-0088-NLD,2010,0088,,Natural,Meteorological,Storm,Extra-tropical storm,,Xynthia,Netherlands (the),NLD,Western Europe,Europe,"Drenthe, Flevoland, Friesland, Gelderland, Groningen, Limburg, Noord-brabant, Noord-holland, Overijssel, Utrecht, Zeeland, Zuid-holland provinces",,,,,,,,,Kph,,,,,2010,2,28,2010,2,28,,,,,,,,18000,22368,28000,34795,80.472285151979,1,2158;2159;2160;2161;2162;2163;2164;2165;2166;2167;2168;2169,,"Drenthe, Flevoland, Friesland, Gelderland, Groningen, Limburg, Noord-brabant, Noord-holland, Overijssel, Utrecht, Zeeland, Zuid-holland (Adm1)."
2011-0518-CHE,2011,0518,,Natural,Meteorological,Storm,Extra-tropical storm,,Joachim,Switzerland,CHE,Western Europe,Europe,"Juras Bernois, Alpes Bernoises area (Bern province) , Bas-Valais area (Valais province)",,Transport accident,,,,,,120,Kph,,,,,2011,12,16,2011,12,16,,3,,,3,,,,,,,83.0126743931774,1,2812;2829,,"Bern, Valais (Adm1)."
2011-0518-FRA,2011,0518,,Natural,Meteorological,Storm,Extra-tropical storm,,Joachim,France,FRA,Western Europe,Europe,Bretagne province,,Transport accident,,,,,,140,Kph,,,,,2011,12,15,2011,12,16,,,,,,,,,,,,83.0126743931774,1,1253,,Bretagne (Adm1).
2011-0439-FRA,2011,0439,,Natural,Hydrological,Flood,Riverine flood,,,France,FRA,Western Europe,Europe,"Var, Alpes Maritimes districts (Provence-Alpes-Cote-d'Azur province)",Heavy rains,,,,,,,,Km2,,,,,2011,11,6,2011,11,6,6,,2300,,2300,,,,,,,83.0126743931774,2,,16321;16324,"Alpes-maritimes, Var (Adm2)."
2012-0019-AUT,2012,0019,CW-2012-000006,Natural,Meteorological,Extreme temperature,Cold wave,,,Austria,AUT,Western Europe,Europe,"Burgenland, Karnten, Niedterosterreich, Oberosterreich, Salzburg, Steiermark, Tirol, Voralberg, Wien provinces",,,,,,,,,°C,,,,,2012,2,,2012,2,,5,,,,,,,,,,,84.7304788978789,1,478;479;480;481;482;483;484;485;486,,"Burgenland, Karnten, Niederosterreich, Oberosterreich, Salzburg, Steiermark, Tirol, Vorarlberg, Wien (Adm1)."
2012-0019-BEL,2012,0019,CW-2012-000006,Natural,Meteorological,Extreme temperature,Cold wave,,,Belgium,BEL,Western Europe,Europe,Vlaams Gewest province,,,,,,,,,°C,,,,,2012,2,,2012,2,,3,,,,,,,,,,,84.7304788978789,1,601,,Vlaams Gewest (Adm1).
2012-0019-CHE,2012,0019,CW-2012-000006,Natural,Meteorological,Extreme temperature,Cold wave,,,Switzerland,CHE,Western Europe,Europe,"Graubunden, Neuchatel provinces",,,,,,,,-35,°C,,,,,2012,2,7,2012,2,7,,,,,,,,,,,,84.7304788978789,1,2816;2819,,"Graubunden, Neuchatel (Adm1)."
2012-0485-CHE,2012,0485,,Natural,Meteorological,Extreme temperature,Cold wave,,,Switzerland,CHE,Western Europe,Europe,"Aargau, Appenzell Ausser-rhoden, Appenzell Inner-rhoden, Basel-landschaft, Basel-stadt, Bern, Fribourg, Geneve, Glarus, Graubunden, Jura, Luzern, Neuchatel, Nidwalden, Obwalden, Sankt Gallen, Schaffhausen, Schwyz, Solothurn, Thurgau, Ticino, Uri, Valais, Vaud, Zug, Zurich provinces",,,,,,,,,°C,,,,,2012,12,7,2012,12,31,11,,,,,,,,,,,84.7304788978789,1,2807;2808;2809;2810;2811;2812;2813;2814;2815;2816;2817;2818;2819;2820;2821;2822;2823;2824;2825;2826;2827;2828;2829;2830;2831;2832,,"Aargau, Appenzell Ausser-rhoden, Appenzell Inner-rhoden, Basel-landschaft, Basel-stadt, Bern, Fribourg, Geneve, Glarus, Graubunden, Jura, Luzern, Neuchatel, Nidwalden, Obwalden, Sankt Gallen, Schaffhausen, Schwyz, Solothurn, Thurgau, Ticino, Uri, Valais, Vaud, Zug, Zurich (Adm1)."
2012-0019-DEU,2012,0019,CW-2012-000006,Natural,Meteorological,Extreme temperature,Cold wave,,,Germany,DEU,Western Europe,Europe,"Baden-Wuerttemberg, Bayern, Berlon, Brandenburg, Bremen, Hamburg, Hessen, Mecklenburg-Vorpommern, Niedersachsen, Nordrhein-Westfalen, Rheinland-Pfalz, Saarland, Sachsen, Sachsen-Anhalt, Schleswig-Holstein, Thueringen provinces",,,,,,,,,°C,,,,,2012,2,,2012,2,,4,,,,,,,,,,,84.7304788978789,1,1308;1309;1310;1311;1312;1313;1314;1315;1316;1317;1318;1319;1320;1321;1322;1323,,"Baden-Wuerttemberg, Bayern, Berlin, Brandenburg, Bremen, Hamburg, Hessen, Mecklenburg-Vorpommern, Niedersachsen, Nordrhein-Westfalen, Rheinland-Pfalz, Saarland, Sachsen, Sachsen-Anhalt, Schleswig-Holstein, Thueringen (Adm1)."
2012-0485-DEU,2012,0485,,Natural,Meteorological,Extreme temperature,Cold wave,,,Germany,DEU,Western Europe,Europe,"Baden-Wuerttemberg, Bayern, Berlin, Brandenburg, Bremen, Hamburg, Hessen, Mecklenburg-Vorpommern, Niedersachsen, Nordrhein-Westfalen, Rheinland-Pfalz, Saarland, Sachsen, Sachsen-Anhalt, Schleswig-Holstein, Thueringen provinces",,,,,,,,,°C,,,,,2012,12,7,2012,12,31,2,,,,,,,,,,,84.7304788978789,1,1308;1309;1310;1311;1312;1313;1314;1315;1316;1317;1318;1319;1320;1321;1322;1323,,"Baden-Wuerttemberg, Bayern, Berlin, Brandenburg, Bremen, Hamburg, Hessen, Mecklenburg-Vorpommern, Niedersachsen, Nordrhein-Westfalen, Rheinland-Pfalz, Saarland, Sachsen, Sachsen-Anhalt, Schleswig-Holstein, Thueringen (Adm1)."
2012-0019-FRA,2012,0019,CW-2012-000006,Natural,Meteorological,Extreme temperature,Cold wave,,,France,FRA,Western Europe,Europe,"Alsace, Aquitaine, Auvergne, Basse-Normandie, Bourgogne, Bretagne, Centre, Champagne-Ardenne, Corse, Franche-Compte, Haute-Normandie, Ile-de-France, Languedoc-Rousillon, Limousin, Lorraine, Nord-Pas-de-Calais, Pays-de-la-Loire, Picardie, Poitou-Charentes, Provence-Alpes-Côte-D'azur, Rhône-Alpes, Midi-Pyrénées provinces",,,,,,,,,°C,,,,,2012,2,,2012,2,,12,,,,,,,,,,,84.7304788978789,1,1248;1249;1250;1251;1252;1253;1254;1255;1256;1257;1258;1259;1260;1262;1263;1264;1265;1266;1267;1268;1269;1270,,"Alsace, Aquitaine, Auvergne, Basse-Normandie, Bourgogne, Bretagne, Centre, Champagne-Ardenne, Corse, Franche-Comte, Haute-Normandie, Ile-de-France, Languedoc-Rousillon, Limousin, Lorraine, Midi-Pyrenees, Nord-Pas-de-Calais, Pays-de-la-Loire, Picardie, Poitou-Charentes, Provence-Alpes-Cote-d'Azur, Rhone-Alpes (Adm1)."
2013-0530-FRA,2013,0530,,Natural,Meteorological,Storm,Extra-tropical storm,,Storm Dirk,France,FRA,Western Europe,Europe,"Alpes-Maritimes district (Provence-Alpes-Cote-d'Azur province) ; Valée du Rhône (Rhone-Alpes province) ; Auvergne, Alsace, Bretagne, Normandie provinces",,Flood,Rain,,,,,150,Kph,,,,,2013,12,23,2013,12,25,1,,,,,,,,,,,85.9716422479773,1;2,1248;1250;1251;1253;1258;1260;1270,16321,"Alsace, Auvergne, Basse-Normandie, Bretagne, Haute-Normandie, Languedoc-Rousillon, Rhone-Alpes (Adm1). Alpes-maritimes (Adm2)."
2013-0517-DEU,2013,0517,,Natural,Meteorological,Storm,Extra-tropical storm,,Storm Xaver,Germany,DEU,Western Europe,Europe,"Hamburg, Schleswig-Holstein, Niedersachsen, Bremen provinces",,Tsunami/Tidal wave,Flood,,,,,,Kph,,,,,2013,12,4,2013,12,7,,,,,,,,,,,,85.9716422479773,1,1312;1313;1316;1322,,"Bremen, Hamburg, Niedersachsen, Schleswig-Holstein (Adm1)."
2013-0205-AUT,2013,0205,FL-2013-000068,Natural,Hydrological,Flood,Riverine flood,,,Austria,AUT,Western Europe,Europe,"Salzburg,Tirol, Vorarlberg provinces",Heavy rains,"Slide (land, mud, snow, rock)",,,,Yes,,,Km2,,,,"Inn, Salzach, Truan, Enns, Steyr, Danube",2013,6,2,2013,6,3,4,,200,,200,,,235000,273346,1e+06,1163174,85.9716422479773,1,482;484;485,,"Salzburg, Tirol, Vorarlberg (Adm1)."
2013-0216-CHE,2013,0216,,Natural,Meteorological,Storm,Convective storm,Lightning/Thunderstorms,,Switzerland,CHE,Western Europe,Europe,"Lausanne city (Vaud province) ; Geneva, Jura, Neuchatel provinces",,Hail,,,,,,,Kph,,,,,2013,6,20,2013,6,21,,84,,,84,,,112000,130276,250000,290794,85.9716422479773,1,2814;2817;2819;2830,,"Geneve, Jura, Neuchatel, Vaud (Adm1)."
2013-0517-BEL,2013,0517,,Natural,Meteorological,Storm,Extra-tropical storm,,Storm Xaver,Belgium,BEL,Western Europe,Europe,"Region de Bruxelles-Capitale, Vlaams Gewest, Region wallonne provinces",,,,,,,,,Kph,,,,,2013,12,4,2013,12,7,,,,,,,,,,,,85.9716422479773,1,600;601;602,,"Region de Bruxelles-Capitale / Brussels Hoofdstedelijk Gewes, Region wallonne, Vlaams Gewest (Adm1)."
2013-0530-BEL,2013,0530,,Natural,Meteorological,Storm,Extra-tropical storm,,Storm Dirk,Belgium,BEL,Western Europe,Europe,"Region de Bruxelles-Capitale, Vlaams Gewest, Region wallonne provinces",,,,,,,,,Kph,,,,,2013,12,26,2013,12,26,,,,,,,,,,,,85.9716422479773,1,600;601;602,,"Region de Bruxelles-Capitale / Brussels Hoofdstedelijk Gewes, Region wallonne, Vlaams Gewest (Adm1)."
2013-0530-CHE,2013,0530,,Natural,Meteorological,Storm,Extra-tropical storm,,Storm Dirk,Switzerland,CHE,Western Europe,Europe,"Aargau, Appenzell Ausser-rhoden, Appenzell Inner-rhoden, Basel-landschaft, Basel-stadt, Bern, Fribourg, Geneve, Glarus, Graubunden, Jura, Luzern, Neuchatel, Nidwalden, Obwalden, Sankt Gallen, Schaffhausen, Schwyz, Solothurn, Thurgau, Ticino, Uri, Valais, Vaud, Zug, Zurich provinces",,,,,,,,,Kph,,,,,2013,12,24,2013,12,24,,,,,,,,,,,,85.9716422479773,1,2807;2808;2809;2810;2811;2812;2813;2814;2815;2816;2817;2818;2819;2820;2821;2822;2823;2824;2825;2826;2827;2828;2829;2830;2831;2832,,"Aargau, Appenzell Ausser-rhoden, Appenzell Inner-rhoden, Basel-landschaft, Basel-stadt, Bern, Fribourg, Geneve, Glarus, Graubunden, Jura, Luzern, Neuchatel, Nidwalden, Obwalden, Sankt Gallen, Schaffhausen, Schwyz, Solothurn, Thurgau, Ticino, Uri, Valais, Vaud, Zug, Zurich (Adm1)."
2013-0547-DEU,2013,0547,,Natural,Meteorological,Storm,Convective storm,Hail,,Germany,DEU,Western Europe,Europe,Wassel village (Niedersachsen province) ; Baden-Württemberg province,,,,,,,,,Kph,,,,,2013,7,27,2013,7,28,,,,,,,,3700000,4303745,4800000,5583236,85.9716422479773,1,1308;1316,,"Baden-Wuerttemberg, Niedersachsen (Adm1)."
2013-0205-DEU,2013,0205,FL-2013-000068,Natural,Hydrological,Flood,Riverine flood,,,Germany,DEU,Western Europe,Europe,"Gera, Greiz, Saale-Holzland, Altenburger cities (Thueringen province), Magdeburg city (Sachsen-Anhalt province), Wurzburg, Regensburg cities (Oberpfalz distric), Passau city (Niederbayern distric), Rosenheim city (Oberbayern distric) (Bayern province), Grimma city (Sachsen province) ; Brandenburg, Baden-Wurttemberg province",,,,,,Yes,,241204,Km2,49.1358,12.11,,"Danube, Elbe, Neckar, Mosel, Rhune",2013,5,28,2013,6,18,4,,6350,,6350,,,1800000,2093714,12900000,15004948,85.9716422479773,1;2,1308;1311;1320;1321;1323,16531;16532;16534,"Baden-Wuerttemberg, Brandenburg, Sachsen, Sachsen-Anhalt, Thueringen (Adm1). Niederbayern, Oberbayern, Oberpfalz (Adm2)."
2013-0398-DEU,2013,0398,,Natural,Meteorological,Storm,Extra-tropical storm,,Storm Christian,Germany,DEU,Western Europe,Europe,"Niedersachsen, Schleswig Holstein province",,,,,,,,160,Kph,,,,,2013,10,27,2013,10,28,7,2,,,2,,,,,,,85.9716422479773,1,1316;1322,,"Niedersachsen, Schleswig-Holstein (Adm1)."
2013-0215-FRA,2013,0215,,Natural,Hydrological,Flood,Flash flood,,,France,FRA,Western Europe,Europe,"Luz-Saint-Sauveur city (Hautes Pyrénées distric), Saint-Béat city, (Haute-Garonne district) (Midi-Pyrenees province) ; Garonne, Pique rivers (Haute-Garonne district, Midi-Pyrenees province) ; Pyrenees-Atlantiques district (Aquitaine province)",,,,,,,,,Km2,,,,,2013,6,18,2013,6,19,2,,2000,,2000,,,,,655000,761879,85.9716422479773,2,,16244;16301;16302,"Haute-Garonne, Hautes-Pyrenees, Pyrenees-Atlantique (Adm2)."
2013-0398-FRA,2013,0398,,Natural,Meteorological,Storm,Extra-tropical storm,,Storm Christian,France,FRA,Western Europe,Europe,"Basse-Normandie, Haute-Normandie, Nord-Pas-de-Calais, Bretagne provinces",,,,,,,,132,Kph,,,,,2013,10,27,2013,10,28,1,,,,,,,,,,,85.9716422479773,1,1251;1253;1258;1265,,"Basse-Normandie, Bretagne, Haute-Normandie, Nord-Pas-de-Calais (Adm1)."
2014-0008-FRA,2014,0008,,Natural,Meteorological,Storm,Convective storm,,,France,FRA,Western Europe,Europe,"Biarritz city (Pyrenees-Atlantique district, Aquitaine province)",,,,,,,,,Kph,,,,,2014,1,7,2014,1,7,2,,,,,,,,,,,87.3662978351193,2,,16244,Pyrenees-Atlantique (Adm2).
2012-0019-NLD,2012,0019,CW-2012-000006,Natural,Meteorological,Extreme temperature,Cold wave,,,Netherlands (the),NLD,Western Europe,Europe,"Drenthe, Flevoland, Friesland, Gelderland, Groningen, Limburg, Noord-brabant, Noord-holland, Overijssel, Utrecht, Zeeland, Zuid-holland provinces",,,,,,,,,°C,,,,,2012,2,,2012,2,,1,,,,,,,,,,,84.7304788978789,1,2158;2159;2160;2161;2162;2163;2164;2165;2166;2167;2168;2169,,"Drenthe, Flevoland, Friesland, Gelderland, Groningen, Limburg, Noord-brabant, Noord-holland, Overijssel, Utrecht, Zeeland, Zuid-holland (Adm1)."
